Category,Arizona
Total_doses_administered,10129555
Total_people_complete,3996176
total_pouluation,7189020
Total_people_one_dose,4788608
Male-65 years and older,580907
Male-55-64 years,337416
Male-45-54 years,304647
Male-20-44 years,760537
Male-Less than 20 years,283299
Female-65 years and older,705901
Female-55-64 years,383428
Female-45-54 years,327813
Female-20-44 years,795118
Female-Less than 20 years,289656
"Black or African American, non-Hispanic",146031
"Asian or Pacific Islander, non-Hispanic",183679
"American Indian or Alaska Native, non-Hispanic",207423
Unknown,433148
Other Race,680325
Hispanic or Latino,904777
"White, non-Hispanic",2233225
