Category,La Paz
Total_doses_administered,18732
Total_people_one_dose,9209
Total_people_complete,7601
total_pouluation,9209
Male-65 years and older,2495
Male-55-64 years,645
Male-45-54 years,334
Male-20-44 years,697
Male-Less than 20 years,388
Female-65 years and older,2488
Female-55-64 years,757
Female-45-54 years,387
Female-20-44 years,617
Female-Less than 20 years,382
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",92
"American Indian or Alaska Native, non-Hispanic",549
Other Race,1209
Hispanic or Latino,1377
Unknown,1901
"White, non-Hispanic",4039
