Category,Cochise
Total_doses_administered,173123
Total_people_one_dose,84158
Total_people_complete,68346
total_pouluation,84158
Male-65 years and older,11522
Male-55-64 years,5695
Male-45-54 years,4496
Male-20-44 years,12018
Male-Less than 20 years,5969
Female-65 years and older,13488
Female-55-64 years,6747
Female-45-54 years,5055
Female-20-44 years,12743
Female-Less than 20 years,6324
"American Indian or Alaska Native, non-Hispanic",374
"Asian or Pacific Islander, non-Hispanic",1524
"Black or African American, non-Hispanic",1640
Unknown,10104
Other Race,12174
Hispanic or Latino,24490
"White, non-Hispanic",33852
