Category,Maricopa
Total_doses_administered,5847948
Total_people_one_dose,2716618
Total_people_complete,2335472
total_pouluation,2716618
Male-65 years and older,291153
Male-55-64 years,192209
Male-45-54 years,186698
Male-20-44 years,449251
Male-Less than 20 years,158827
Female-65 years and older,363781
Female-55-64 years,215982
Female-45-54 years,202085
Female-20-44 years,480700
Female-Less than 20 years,161557
"American Indian or Alaska Native, non-Hispanic",53309
"Black or African American, non-Hispanic",106358
"Asian or Pacific Islander, non-Hispanic",138360
Unknown,182944
Other Race,434807
Hispanic or Latino,464289
"White, non-Hispanic",1336551
