Category,Coconino
Total_doses_administered,214286
Total_people_one_dose,97059
Total_people_complete,82786
total_pouluation,97059
Male-65 years and older,9575
Male-55-64 years,6466
Male-45-54 years,5915
Male-20-44 years,17594
Male-Less than 20 years,6532
Female-65 years and older,10762
Female-55-64 years,7243
Female-45-54 years,5958
Female-20-44 years,19989
Female-Less than 20 years,6754
"Black or African American, non-Hispanic",807
"Asian or Pacific Islander, non-Hispanic",1735
Hispanic or Latino,7551
Other Race,8852
Unknown,12419
"American Indian or Alaska Native, non-Hispanic",23255
"White, non-Hispanic",42440
