Category,Greenlee
Total_doses_administered,9824
Total_people_one_dose,4449
Total_people_complete,3851
total_pouluation,4449
Male-65 years and older,519
Male-55-64 years,376
Male-45-54 years,331
Male-20-44 years,804
Male-Less than 20 years,233
Female-65 years and older,520
Female-55-64 years,319
Female-45-54 years,329
Female-20-44 years,774
Female-Less than 20 years,242
"Asian or Pacific Islander, non-Hispanic",45
"Black or African American, non-Hispanic",53
Other Race,96
"American Indian or Alaska Native, non-Hispanic",125
Unknown,310
"White, non-Hispanic",1805
Hispanic or Latino,2015
