Category,Navajo
Total_doses_administered,104619
Total_people_one_dose,50682
Total_people_complete,41301
total_pouluation,50682
Male-65 years and older,7501
Male-55-64 years,3650
Male-45-54 years,2787
Male-20-44 years,6038
Male-Less than 20 years,4609
Female-65 years and older,8431
Female-55-64 years,4180
Female-45-54 years,2792
Female-20-44 years,5923
Female-Less than 20 years,4733
"Black or African American, non-Hispanic",210
"Asian or Pacific Islander, non-Hispanic",376
Unknown,2450
Hispanic or Latino,2623
Other Race,6405
"White, non-Hispanic",16375
"American Indian or Alaska Native, non-Hispanic",22243
