Category,Santa Cruz
Total_doses_administered,116426
Total_people_one_dose,59038
Total_people_complete,45258
total_pouluation,59038
Male-65 years and older,4870
Male-55-64 years,3400
Male-45-54 years,3550
Male-20-44 years,9377
Male-Less than 20 years,7054
Female-65 years and older,5880
Female-55-64 years,3745
Female-45-54 years,3870
Female-20-44 years,9841
Female-Less than 20 years,7363
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",190
Other Race,3613
Unknown,4217
"White, non-Hispanic",7824
Hispanic or Latino,43076
