Category,Mohave
Total_doses_administered,193161
Total_people_one_dose,92612
Total_people_complete,77640
total_pouluation,92612
Male-65 years and older,21459
Male-55-64 years,8447
Male-45-54 years,4396
Male-20-44 years,7798
Male-Less than 20 years,1949
Female-65 years and older,23539
Female-55-64 years,9764
Female-45-54 years,4946
Female-20-44 years,7985
Female-Less than 20 years,2149
"Black or African American, non-Hispanic",646
"American Indian or Alaska Native, non-Hispanic",771
"Asian or Pacific Islander, non-Hispanic",1418
Hispanic or Latino,7555
Unknown,11676
Other Race,14647
"White, non-Hispanic",55899
