Category,Yavapai
Total_doses_administered,257027
Total_people_one_dose,120159
Total_people_complete,100652
total_pouluation,120159
Male-65 years and older,26504
Male-55-64 years,9373
Male-45-54 years,5174
Male-20-44 years,10562
Male-Less than 20 years,3083
Female-65 years and older,32201
Female-55-64 years,11811
Female-45-54 years,6142
Female-20-44 years,10799
Female-Less than 20 years,3365
"Black or African American, non-Hispanic",597
"American Indian or Alaska Native, non-Hispanic",1468
"Asian or Pacific Islander, non-Hispanic",1494
Hispanic or Latino,8476
Other Race,17643
Unknown,18540
"White, non-Hispanic",71941
