Category,Apache
Total_doses_administered,64451
Total_people_one_dose,30579
Total_people_complete,23133
total_pouluation,30579
Male-65 years and older,2858
Male-55-64 years,2085
Male-45-54 years,1684
Male-20-44 years,4037
Male-Less than 20 years,4286
Female-65 years and older,3427
Female-55-64 years,2237
Female-45-54 years,1656
Female-20-44 years,3928
Female-Less than 20 years,4371
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",138
Hispanic or Latino,601
Other Race,1176
Unknown,1179
"White, non-Hispanic",3699
"American Indian or Alaska Native, non-Hispanic",23726
