Category,Graham
Total_doses_administered,46468
Total_people_one_dose,21743
Total_people_complete,18922
total_pouluation,21743
Male-65 years and older,2438
Male-55-64 years,1608
Male-45-54 years,1466
Male-20-44 years,3663
Male-Less than 20 years,1304
Female-65 years and older,2945
Female-55-64 years,1746
Female-45-54 years,1431
Female-20-44 years,3707
Female-Less than 20 years,1423
"Asian or Pacific Islander, non-Hispanic",88
"Black or African American, non-Hispanic",97
Other Race,1318
Hispanic or Latino,3936
Unknown,4150
"American Indian or Alaska Native, non-Hispanic",5512
"White, non-Hispanic",6642
