Category,Pinal
Total_doses_administered,535367
Total_people_one_dose,247833
Total_people_complete,217242
total_pouluation,247833
Male-65 years and older,39114
Male-55-64 years,17475
Male-45-54 years,15287
Male-20-44 years,36812
Male-Less than 20 years,12696
Female-65 years and older,44576
Female-55-64 years,20028
Female-45-54 years,15577
Female-20-44 years,33051
Female-Less than 20 years,12602
"Asian or Pacific Islander, non-Hispanic",4940
"Black or African American, non-Hispanic",9193
"American Indian or Alaska Native, non-Hispanic",10561
Other Race,29521
Unknown,30158
Hispanic or Latino,42038
"White, non-Hispanic",121422
