Category,Yuma
Total_doses_administered,351131
Total_people_one_dose,172216
Total_people_complete,138795
total_pouluation,172216
Male-65 years and older,18039
Male-55-64 years,11224
Male-45-54 years,9778
Male-20-44 years,30454
Male-Less than 20 years,14933
Female-65 years and older,20605
Female-55-64 years,12058
Female-45-54 years,10693
Female-20-44 years,28420
Female-Less than 20 years,15327
"Black or African American, non-Hispanic",903
"American Indian or Alaska Native, non-Hispanic",1250
"Asian or Pacific Islander, non-Hispanic",1276
Other Race,20822
Unknown,30812
"White, non-Hispanic",37609
Hispanic or Latino,79544
