Category,Apache
Total_doses_administered,75759
Total_people_one_dose,33990
Total_people_complete,28859
total_pouluation,33990
Male-65 years and older,3089
Male-55-64 years,2282
Male-45-54 years,1854
Male-20-44 years,4565
Male-Less than 20 years,4700
Female-65 years and older,3742
Female-55-64 years,2513
Female-45-54 years,1915
Female-20-44 years,4513
Female-Less than 20 years,4806
"Black or African American, non-Hispanic",66
"Asian or Pacific Islander, non-Hispanic",157
Hispanic or Latino,647
Unknown,1219
Other Race,1233
"White, non-Hispanic",3902
"American Indian or Alaska Native, non-Hispanic",26766
