Category,Graham
Total_doses_administered,42207
Total_people_one_dose,19165
Total_people_complete,17010
total_pouluation,19165
Male-65 years and older,1996
Male-55-64 years,1363
Male-45-54 years,1314
Male-20-44 years,3255
Male-Less than 20 years,1294
Female-65 years and older,2473
Female-55-64 years,1508
Female-45-54 years,1246
Female-20-44 years,3293
Female-Less than 20 years,1412
"Asian or Pacific Islander, non-Hispanic",66
"Black or African American, non-Hispanic",83
Other Race,865
Hispanic or Latino,2847
Unknown,3823
"White, non-Hispanic",5656
"American Indian or Alaska Native, non-Hispanic",5825
