Category,Navajo
Total_doses_administered,117365
Total_people_one_dose,54579
Total_people_complete,46039
total_pouluation,54579
Male-65 years and older,7723
Male-55-64 years,3889
Male-45-54 years,2952
Male-20-44 years,6601
Male-Less than 20 years,5324
Female-65 years and older,8745
Female-55-64 years,4403
Female-45-54 years,3011
Female-20-44 years,6520
Female-Less than 20 years,5373
"Black or African American, non-Hispanic",223
"Asian or Pacific Islander, non-Hispanic",411
Unknown,2585
Hispanic or Latino,2795
Other Race,6493
"White, non-Hispanic",16575
"American Indian or Alaska Native, non-Hispanic",25497
