Category,Arizona
Total_doses_administered,10709356
Total_people_complete,4202160
total_pouluation,7189020
Total_people_one_dose,4943037
Male-65 years and older,591270
Male-55-64 years,343408
Male-45-54 years,311411
Male-20-44 years,784646
Male-Less than 20 years,312869
Female-65 years and older,717247
Female-55-64 years,390052
Female-45-54 years,335187
Female-20-44 years,819668
Female-Less than 20 years,317387
"Black or African American, non-Hispanic",152084
"Asian or Pacific Islander, non-Hispanic",190124
"American Indian or Alaska Native, non-Hispanic",221214
Unknown,444761
Other Race,691038
Hispanic or Latino,962532
"White, non-Hispanic",2281284
