Category,value
Hospitalizations,103276
Day,
Day_pct,
Apache,1308
Cochise,1251
Coconino,2107
Gila,1107
Graham,508
Greenlee,91
La Paz,395
Maricopa,64886
Mohave,3557
Navajo,2594
Pima,11480
Pinal,6735
Santa Cruz,712
Yavapai,3560
Yuma,2985
0_5,
Less than 20 years,4390
20-44 years,22283
45-54 years,14266
55-64 years,18790
65 years and older,43487
Male,53919
Female,49297
Missing,
"White, non-Hispanic",51873
Hispanic or Latino,30830
"American Indian or Alaska Native, non-Hispanic",6900
"Black or African American, non-Hispanic",5333
"Asian or Pacific Islander, non-Hispanic",1663
Other Race,4465
