,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,1549678,16950,93931,127038,45538,17412,7981,15700,2077344,121476,45845,742980,233321,50764,164355,159159
Total_people_one_dose,3126224,847400,9792,53665,69603,25371,9653,4522,8765,1228378,70938,26910,422612,135222,29137,94480,89776
Total_people_complete,2603607,,,,,,,,,,,,,,,,
Total_doses_ordered,5121400,,,,,,,,,,,,,,,,
65 years and older,590374,,,,,,,,,,,,,,,,
55-64 years,303638,,,,,,,,,,,,,,,,
45-54 years,230396,,,,,,,,,,,,,,,,
20-44 years,489136,,,,,,,,,,,,,,,,
Less than 20 years,64326,,,,,,,,,,,,,,,,
65 years and older,70938,,,,,,,,,,,,,,,,
55-64 years,255891,,,,,,,,,,,,,,,,
45-54 years,203581,,,,,,,,,,,,,,,,
20-44 years,446470,,,,,,,,,,,,,,,,
Less than 20 years,56729,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",72468,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",75962,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",116506,,,,,,,,,,,,,,,,
Hispanic or Latino,417880,,,,,,,,,,,,,,,,
Unknown,424454,,,,,,,,,,,,,,,,
Other Race,527745,,,,,,,,,,,,,,,,
"White, non-Hispanic",1491209,,,,,,,,,,,,,,,,
