Category,Mohave
Total_doses_administered,157592
Total_people_one_dose,90660
Total_people_complete,74793
Total_doses_ordered,129340
total_pouluation,216985
Male-65 years and older,21715
Male-55-64 years,8537
Male-45-54 years,4417
Male-20-44 years,7370
Male-Less than 20 years,1325
Female-65 years and older,24226
Female-55-64 years,9932
Female-45-54 years,4675
Female-20-44 years,6869
Female-Less than 20 years,1436
"Black or African American, non-Hispanic",628
"American Indian or Alaska Native, non-Hispanic",938
"Asian or Pacific Islander, non-Hispanic",1306
Hispanic or Latino,6480
Unknown,15249
Other Race,16053
"White, non-Hispanic",50006
