Category,Gila
Total_doses_administered,53493
Total_people_one_dose,29543
Total_people_complete,26051
Total_doses_ordered,37330
total_pouluation,55159
Male-65 years and older,5923
Male-55-64 years,2664
Male-45-54 years,1639
Male-20-44 years,3245
Male-Less than 20 years,770
Female-65 years and older,6278
Female-55-64 years,2958
Female-45-54 years,1729
Female-20-44 years,3364
Female-Less than 20 years,911
"Black or African American, non-Hispanic",99
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1356
Other Race,4907
Unknown,5465
"American Indian or Alaska Native, non-Hispanic",5959
"White, non-Hispanic",11496
