Category,Maricopa
Total_doses_administered,3097113
Total_people_one_dose,1771220
Total_people_complete,1523178
Total_doses_ordered,1616078
total_pouluation,4367835
Male-65 years and older,182955
Male-55-64 years,128763
Male-45-54 years,128421
Male-20-44 years,299253
Male-Less than 20 years,82900
Female-65 years and older,236884
Female-55-64 years,148314
Female-45-54 years,142224
Female-20-44 years,324516
Female-Less than 20 years,85173
"American Indian or Alaska Native, non-Hispanic",37405
"Black or African American, non-Hispanic",68528
"Asian or Pacific Islander, non-Hispanic",82207
Unknown,173973
Other Race,271872
Hispanic or Latino,325308
"White, non-Hispanic",811927
