Category,Apache
Total_doses_administered,33239
Total_people_one_dose,18683
Total_people_complete,12264
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1955
Male-55-64 years,1300
Male-45-54 years,1025
Male-20-44 years,2489
Male-Less than 20 years,2505
Female-65 years and older,2065
Female-55-64 years,1431
Female-45-54 years,1020
Female-20-44 years,2290
Female-Less than 20 years,2593
"Asian or Pacific Islander, non-Hispanic",168
"Black or African American, non-Hispanic",286
Unknown,1007
Other Race,1259
Hispanic or Latino,1858
"White, non-Hispanic",3256
"American Indian or Alaska Native, non-Hispanic",10849
