Category,Navajo
Total_doses_administered,77699
Total_people_one_dose,43820
Total_people_complete,37148
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6985
Male-55-64 years,3623
Male-45-54 years,2564
Male-20-44 years,5400
Male-Less than 20 years,3086
Female-65 years and older,7669
Female-55-64 years,3883
Female-45-54 years,2585
Female-20-44 years,4776
Female-Less than 20 years,3215
"Black or African American, non-Hispanic",226
"Asian or Pacific Islander, non-Hispanic",419
Unknown,2227
Hispanic or Latino,2270
Other Race,8386
"White, non-Hispanic",14705
"American Indian or Alaska Native, non-Hispanic",15587
