Category,Cochise
Total_doses_administered,122172
Total_people_one_dose,68724
Total_people_complete,60225
Total_doses_ordered,90250
total_pouluation,130808
Male-65 years and older,10786
Male-55-64 years,5212
Male-45-54 years,3836
Male-20-44 years,9868
Male-Less than 20 years,2743
Female-65 years and older,12768
Female-55-64 years,6293
Female-45-54 years,4391
Female-20-44 years,9912
Female-Less than 20 years,2823
"American Indian or Alaska Native, non-Hispanic",324
"Black or African American, non-Hispanic",1286
"Asian or Pacific Islander, non-Hispanic",1316
Unknown,9233
Other Race,10460
Hispanic or Latino,16725
"White, non-Hispanic",29380
