Category,Pinal
Total_doses_administered,319322
Total_people_one_dose,183470
Total_people_complete,161321
Total_doses_ordered,198708
total_pouluation,455210
Male-65 years and older,30077
Male-55-64 years,13954
Male-45-54 years,13025
Male-20-44 years,30662
Male-Less than 20 years,5948
Female-65 years and older,34489
Female-55-64 years,14853
Female-45-54 years,11692
Female-20-44 years,22231
Female-Less than 20 years,5946
"Asian or Pacific Islander, non-Hispanic",3281
"Black or African American, non-Hispanic",5258
"American Indian or Alaska Native, non-Hispanic",8776
Other Race,19670
Hispanic or Latino,29166
Unknown,37247
"White, non-Hispanic",80072
