Category,Maricopa
Total_doses_administered,5324878
Total_people_one_dose,2592036
Total_people_complete,2280816
total_pouluation,2592036
Male-65 years and older,281956
Male-55-64 years,186101
Male-45-54 years,180392
Male-20-44 years,430279
Male-Less than 20 years,138076
Female-65 years and older,352643
Female-55-64 years,209592
Female-45-54 years,195884
Female-20-44 years,461240
Female-Less than 20 years,141431
"American Indian or Alaska Native, non-Hispanic",50409
"Black or African American, non-Hispanic",99640
"Asian or Pacific Islander, non-Hispanic",130407
Unknown,173029
Other Race,422020
Hispanic or Latino,430043
"White, non-Hispanic",1286488
