Category,Yavapai
Total_doses_administered,234231
Total_people_one_dose,115216
Total_people_complete,97522
total_pouluation,115216
Male-65 years and older,25474
Male-55-64 years,9043
Male-45-54 years,4961
Male-20-44 years,10011
Male-Less than 20 years,2744
Female-65 years and older,31188
Female-55-64 years,11472
Female-45-54 years,5916
Female-20-44 years,10229
Female-Less than 20 years,3030
"Black or African American, non-Hispanic",533
"Asian or Pacific Islander, non-Hispanic",1386
"American Indian or Alaska Native, non-Hispanic",1400
Hispanic or Latino,7844
Other Race,16969
Unknown,19394
"White, non-Hispanic",67690
