Category,Apache
Total_doses_administered,57106
Total_people_one_dose,28282
Total_people_complete,22305
total_pouluation,28282
Male-65 years and older,2741
Male-55-64 years,1998
Male-45-54 years,1592
Male-20-44 years,3738
Male-Less than 20 years,3753
Female-65 years and older,3297
Female-55-64 years,2127
Female-45-54 years,1557
Female-20-44 years,3657
Female-Less than 20 years,3814
"Black or African American, non-Hispanic",59
"Asian or Pacific Islander, non-Hispanic",128
Hispanic or Latino,557
Unknown,1092
Other Race,1103
"White, non-Hispanic",3594
"American Indian or Alaska Native, non-Hispanic",21749
