Category,Coconino
Total_doses_administered,193192
Total_people_one_dose,92603
Total_people_complete,80982
total_pouluation,92603
Male-65 years and older,9281
Male-55-64 years,6259
Male-45-54 years,5709
Male-20-44 years,16858
Male-Less than 20 years,5698
Female-65 years and older,10482
Female-55-64 years,7050
Female-45-54 years,5801
Female-20-44 years,19227
Female-Less than 20 years,5975
"Black or African American, non-Hispanic",763
"Asian or Pacific Islander, non-Hispanic",1563
Hispanic or Latino,6905
Other Race,8495
Unknown,12830
"American Indian or Alaska Native, non-Hispanic",21984
"White, non-Hispanic",40063
