Category,Santa Cruz
Total_doses_administered,103734
Total_people_one_dose,54233
Total_people_complete,43678
total_pouluation,54233
Male-65 years and older,4627
Male-55-64 years,3214
Male-45-54 years,3356
Male-20-44 years,8927
Male-Less than 20 years,5842
Female-65 years and older,5582
Female-55-64 years,3498
Female-45-54 years,3632
Female-20-44 years,9197
Female-Less than 20 years,6277
"Black or African American, non-Hispanic",55
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3430
Unknown,3652
"White, non-Hispanic",7392
Hispanic or Latino,39464
