Category,Cochise
Total_doses_administered,152736
Total_people_one_dose,78131
Total_people_complete,65734
total_pouluation,78131
Male-65 years and older,10987
Male-55-64 years,5374
Male-45-54 years,4206
Male-20-44 years,11305
Male-Less than 20 years,4887
Female-65 years and older,12945
Female-55-64 years,6412
Female-45-54 years,4725
Female-20-44 years,11969
Female-Less than 20 years,5221
"American Indian or Alaska Native, non-Hispanic",346
"Asian or Pacific Islander, non-Hispanic",1437
"Black or African American, non-Hispanic",1528
Unknown,9194
Other Race,11652
Hispanic or Latino,21554
"White, non-Hispanic",32420
