Category,Graham
Total_doses_administered,41691
Total_people_one_dose,20644
Total_people_complete,18298
total_pouluation,20644
Male-65 years and older,2372
Male-55-64 years,1565
Male-45-54 years,1422
Male-20-44 years,3519
Male-Less than 20 years,1073
Female-65 years and older,2875
Female-55-64 years,1707
Female-45-54 years,1398
Female-20-44 years,3543
Female-Less than 20 years,1158
"Asian or Pacific Islander, non-Hispanic",83
"Black or African American, non-Hispanic",89
Other Race,1282
Hispanic or Latino,3667
Unknown,4055
"American Indian or Alaska Native, non-Hispanic",5127
"White, non-Hispanic",6341
