Category,Navajo
Total_doses_administered,95194
Total_people_one_dose,47668
Total_people_complete,40045
total_pouluation,47668
Male-65 years and older,7230
Male-55-64 years,3535
Male-45-54 years,2655
Male-20-44 years,5673
Male-Less than 20 years,3983
Female-65 years and older,8168
Female-55-64 years,4052
Female-45-54 years,2666
Female-20-44 years,5575
Female-Less than 20 years,4096
"Black or African American, non-Hispanic",200
"Asian or Pacific Islander, non-Hispanic",347
Unknown,2214
Hispanic or Latino,2409
Other Race,6222
"White, non-Hispanic",15772
"American Indian or Alaska Native, non-Hispanic",20504
