Category,Arizona
Total_doses_administered,9162617
Total_people_complete,437740
total_pouluation,7189020
Total_people_one_dose,4524683
Male-65 years and older,555881
Male-55-64 years,323304
Male-45-54 years,291898
Male-20-44 years,722537
Male-Less than 20 years,243407
Female-65 years and older,677789
Female-55-64 years,368329
Female-45-54 years,315136
Female-20-44 years,755789
Female-Less than 20 years,250849
"Black or African American, non-Hispanic",136056
"Asian or Pacific Islander, non-Hispanic",171865
"American Indian or Alaska Native, non-Hispanic",191187
Unknown,414174
Other Race,653807
Hispanic or Latino,829285
"White, non-Hispanic",2128309
