Category,Yuma
Total_doses_administered,292362
Total_people_one_dose,150818
Total_people_complete,124980
total_pouluation,150818
Male-65 years and older,15700
Male-55-64 years,10123
Male-45-54 years,9019
Male-20-44 years,27349
Male-Less than 20 years,11394
Female-65 years and older,18202
Female-55-64 years,10822
Female-45-54 years,9929
Female-20-44 years,25868
Female-Less than 20 years,11863
"Black or African American, non-Hispanic",804
"American Indian or Alaska Native, non-Hispanic",1144
"Asian or Pacific Islander, non-Hispanic",1178
Other Race,17602
Unknown,28383
"White, non-Hispanic",33059
Hispanic or Latino,68648
