Category,La Paz
Total_doses_administered,16946
Total_people_one_dose,8625
Total_people_complete,7421
total_pouluation,8625
Male-65 years and older,2349
Male-55-64 years,600
Male-45-54 years,318
Male-20-44 years,655
Male-Less than 20 years,318
Female-65 years and older,2379
Female-55-64 years,716
Female-45-54 years,364
Female-20-44 years,579
Female-Less than 20 years,329
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",88
"American Indian or Alaska Native, non-Hispanic",491
Other Race,1138
Hispanic or Latino,1267
Unknown,1784
"White, non-Hispanic",3819
