Category,Apache
Total_doses_administered,35695
Total_people_one_dose,20068
Total_people_complete,13345
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2075
Male-55-64 years,1410
Male-45-54 years,1110
Male-20-44 years,2733
Male-Less than 20 years,2611
Female-65 years and older,2231
Female-55-64 years,1545
Female-45-54 years,1127
Female-20-44 years,2552
Female-Less than 20 years,2664
"Asian or Pacific Islander, non-Hispanic",178
"Black or African American, non-Hispanic",307
Unknown,1085
Other Race,1332
Hispanic or Latino,2012
"White, non-Hispanic",3467
"American Indian or Alaska Native, non-Hispanic",11687
