Category,Mohave
Total_doses_administered,167378
Total_people_one_dose,95052
Total_people_complete,79713
Total_doses_ordered,136600
total_pouluation,216985
Male-65 years and older,22418
Male-55-64 years,8843
Male-45-54 years,4672
Male-20-44 years,8008
Male-Less than 20 years,1557
Female-65 years and older,24952
Female-55-64 years,10296
Female-45-54 years,4988
Female-20-44 years,7482
Female-Less than 20 years,1670
"Black or African American, non-Hispanic",688
"American Indian or Alaska Native, non-Hispanic",991
"Asian or Pacific Islander, non-Hispanic",1372
Hispanic or Latino,7006
Unknown,16211
Other Race,16425
"White, non-Hispanic",52359
