Category,Santa Cruz
Total_doses_administered,74236
Total_people_one_dose,41162
Total_people_complete,37214
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3694
Male-55-64 years,2687
Male-45-54 years,3170
Male-20-44 years,8129
Male-Less than 20 years,2839
Female-65 years and older,4469
Female-55-64 years,2722
Female-45-54 years,2988
Female-20-44 years,7525
Female-Less than 20 years,2869
"American Indian or Alaska Native, non-Hispanic",19
"Black or African American, non-Hispanic",38
"Asian or Pacific Islander, non-Hispanic",102
Other Race,2087
Unknown,2402
"White, non-Hispanic",4970
Hispanic or Latino,31544
