Category,Arizona,Apache,Coconino,Cochise,Graham,Greenlee,Gila,La Paz,Maricopa,Mohave,Navajo,Pinal,Pima,Santa Cruz,Yavapai,Yuma
Total_doses_administered,7783617,35695,159082,128113,24116,9733,56479,18569,3392843,167378,82108,341853,1019340,74236,200280,232820
Total_people_complete,3738821,13345,77988,62985,11975,4720,27296,9123,1674885,79713,39055,174074,503194,37214,96371,111137
Total_doses_ordered,5422016,18600,110439,94500,21520,12630,38520,19400,1721227,136600,44665,202352,641256,49512,175366,153428
total_pouluation,7189020,71808,147275,130808,38476,10375,55159,22085,4367835,216985,112825,455210,1044675,53161,232386,229957
Total_people_one_dose,4222746,20068,87109,71432,13407,5533,30608,10244,1919242,95052,46186,195153,566736,41162,114232,130312
Male-65 years and older,549950,2075,8265,11030,1732,576,6055,3211,202620,22418,7318,31417,76598,3694,24769,16387
Male-55-64 years,310739,1410,6245,5331,1052,637,2705,716,135444,8843,3757,14490,38344,2687,8847,9217
Male-45-54 years,275763,1110,5646,3977,966,566,1703,355,137057,4672,2714,13791,33701,3170,5245,8265
Male-20-44 years,666673,2733,17339,10479,2310,1229,3430,624,326605,8008,5787,33331,85262,8129,10429,24869
Male-Less than 20 years,178904,2611,3488,3002,505,130,865,200,92093,1557,3254,6689,23544,2839,2259,6392
Female-65 years and older,674936,2231,9358,13057,2185,546,6400,3109,259028,24952,8030,35912,100299,4469,30872,18514
Female-55-64 years,357029,1545,6938,6441,1215,428,3020,875,155838,10296,4041,15423,47091,2722,11257,9662
Female-45-54 years,300748,1127,5787,4549,882,402,1791,378,151087,4988,2693,12386,39343,2988,6115,8467
Female-20-44 years,701294,2552,19814,10424,1958,900,3584,540,353146,7482,5152,24449,96717,7525,10610,21364
Female-Less than 20 years,186925,2664,4132,3049,590,116,992,210,94343,1670,3404,6661,24855,2869,2514,6754
"Black or African American, non-Hispanic",118230,307,660,1367,79,50,101,36,75325,688,240,5774,11440,38,641,804
"American Indian or Alaska Native, non-Hispanic",127238,11687,18189,343,1130,105,6292,253,41673,991,16236,9397,12188,19,1194,1725
"Asian or Pacific Islander, non-Hispanic",155572,178,1321,1350,70,52,264,79,86429,1372,429,3489,14246,102,1500,803
Unknown,448453,1085,17206,9620,4220,528,5572,2726,186655,16211,2492,38697,84359,2402,27875,34263
Other Race,704883,1332,10009,10820,1015,152,5050,1170,294148,16425,8677,21143,72544,2087,17593,11703
Hispanic or Latino,729195,2012,6447,17475,2223,2409,1426,1171,356347,7006,2423,31414,137067,31544,7427,57336
"White, non-Hispanic",1939175,3467,33277,30457,4670,2237,11903,4809,878665,52359,15689,85239,234892,4970,58002,23678
