Category,Yavapai
Total_doses_administered,200280
Total_people_one_dose,114232
Total_people_complete,96371
Total_doses_ordered,175366
total_pouluation,232386
Male-65 years and older,24769
Male-55-64 years,8847
Male-45-54 years,5245
Male-20-44 years,10429
Male-Less than 20 years,2259
Female-65 years and older,30872
Female-55-64 years,11257
Female-45-54 years,6115
Female-20-44 years,10610
Female-Less than 20 years,2514
"Black or African American, non-Hispanic",641
"American Indian or Alaska Native, non-Hispanic",1194
"Asian or Pacific Islander, non-Hispanic",1500
Hispanic or Latino,7427
Other Race,17593
Unknown,27875
"White, non-Hispanic",58002
