Category,Coconino
Total_doses_administered,159082
Total_people_one_dose,87109
Total_people_complete,77988
Total_doses_ordered,110439
total_pouluation,147275
Male-65 years and older,8265
Male-55-64 years,6245
Male-45-54 years,5646
Male-20-44 years,17339
Male-Less than 20 years,3488
Female-65 years and older,9358
Female-55-64 years,6938
Female-45-54 years,5787
Female-20-44 years,19814
Female-Less than 20 years,4132
"Black or African American, non-Hispanic",660
"Asian or Pacific Islander, non-Hispanic",1321
Hispanic or Latino,6447
Other Race,10009
Unknown,17206
"American Indian or Alaska Native, non-Hispanic",18189
"White, non-Hispanic",33277
