Category,Navajo
Total_doses_administered,82108
Total_people_one_dose,46186
Total_people_complete,39055
Total_doses_ordered,44665
total_pouluation,112825
Male-65 years and older,7318
Male-55-64 years,3757
Male-45-54 years,2714
Male-20-44 years,5787
Male-Less than 20 years,3254
Female-65 years and older,8030
Female-55-64 years,4041
Female-45-54 years,2693
Female-20-44 years,5152
Female-Less than 20 years,3404
"Black or African American, non-Hispanic",240
"Asian or Pacific Islander, non-Hispanic",429
Hispanic or Latino,2423
Unknown,2492
Other Race,8677
"White, non-Hispanic",15689
"American Indian or Alaska Native, non-Hispanic",16236
