Category,Santa Cruz
Total_doses_administered,90378
Total_people_one_dose,47541
Total_people_complete,42698
total_pouluation,47541
Male-65 years and older,4417
Male-55-64 years,3052
Male-45-54 years,3189
Male-20-44 years,8523
Male-Less than 20 years,3728
Female-65 years and older,5304
Female-55-64 years,3299
Female-45-54 years,3374
Female-20-44 years,8502
Female-Less than 20 years,4088
"American Indian or Alaska Native, non-Hispanic",48
"Black or African American, non-Hispanic",49
"Asian or Pacific Islander, non-Hispanic",170
Unknown,2905
Other Race,3156
"White, non-Hispanic",6775
Hispanic or Latino,34438
