Category,value
Hospitalizations,80752
Day,
Day_pct,
Apache,1107
Cochise,910
Coconino,1677
Gila,860
Graham,412
Greenlee,59
La Paz,312
Maricopa,50890
Mohave,2697
Navajo,2083
Pima,8766
Pinal,5365
Santa Cruz,621
Yavapai,2460
Yuma,2533
0_5,
Less than 20 years,3022
20-44 years,17219
45-54 years,11442
55-64 years,14815
65 years and older,34212
Male,42377
Female,38333
Missing,
"White, non-Hispanic",38762
Hispanic or Latino,25336
"American Indian or Alaska Native, non-Hispanic",5763
"Black or African American, non-Hispanic",3990
"Asian or Pacific Islander, non-Hispanic",1348
Other Race,3489
