Category,Arizona
Total_doses_administered,8365704
Total_people_complete,379882
total_pouluation,7189020
Total_people_one_dose,4280532
Male-65 years and older,536825
Male-55-64 years,313076
Male-45-54 years,282496
Male-20-44 years,694375
Male-Less than 20 years,190484
Female-65 years and older,657353
Female-55-64 years,357164
Female-45-54 years,305295
Female-20-44 years,724809
Female-Less than 20 years,199032
"Black or African American, non-Hispanic",121555
"Asian or Pacific Islander, non-Hispanic",154752
"American Indian or Alaska Native, non-Hispanic",162408
Unknown,474914
Other Race,682471
Hispanic or Latino,760459
"White, non-Hispanic",1923973
