Category,Mohave
Total_doses_administered,159925
Total_people_one_dose,84587
Total_people_complete,73068
total_pouluation,84587
Male-65 years and older,19578
Male-55-64 years,7823
Male-45-54 years,4044
Male-20-44 years,6997
Male-Less than 20 years,1456
Female-65 years and older,22024
Female-55-64 years,9192
Female-45-54 years,4588
Female-20-44 years,7063
Female-Less than 20 years,1649
"Black or African American, non-Hispanic",528
"American Indian or Alaska Native, non-Hispanic",639
"Asian or Pacific Islander, non-Hispanic",1201
Hispanic or Latino,6510
Unknown,13285
Other Race,14983
"White, non-Hispanic",47441
