Category,Cochise
Total_doses_administered,135504
Total_people_one_dose,71940
Total_people_complete,64093
total_pouluation,71940
Male-65 years and older,10579
Male-55-64 years,5115
Male-45-54 years,3971
Male-20-44 years,10765
Male-Less than 20 years,3387
Female-65 years and older,12566
Female-55-64 years,6197
Female-45-54 years,4478
Female-20-44 years,11249
Female-Less than 20 years,3539
"American Indian or Alaska Native, non-Hispanic",309
"Asian or Pacific Islander, non-Hispanic",1338
"Black or African American, non-Hispanic",1380
Unknown,9646
Other Race,11482
Hispanic or Latino,17951
"White, non-Hispanic",29834
