Category,Yuma
Total_doses_administered,263580
Total_people_one_dose,138773
Total_people_complete,121880
total_pouluation,138773
Male-65 years and older,14967
Male-55-64 years,9775
Male-45-54 years,8725
Male-20-44 years,26114
Male-Less than 20 years,8095
Female-65 years and older,17448
Female-55-64 years,10409
Female-45-54 years,9567
Female-20-44 years,24536
Female-Less than 20 years,8624
"Black or African American, non-Hispanic",697
"Asian or Pacific Islander, non-Hispanic",1053
"American Indian or Alaska Native, non-Hispanic",1058
Other Race,15539
"White, non-Hispanic",28552
Unknown,30328
Hispanic or Latino,61546
