Category,Coconino
Total_doses_administered,173771
Total_people_one_dose,87450
Total_people_complete,79609
total_pouluation,87450
Male-65 years and older,9042
Male-55-64 years,6105
Male-45-54 years,5567
Male-20-44 years,16343
Male-Less than 20 years,4190
Female-65 years and older,10239
Female-55-64 years,6909
Female-45-54 years,5690
Female-20-44 years,18597
Female-Less than 20 years,4510
"Black or African American, non-Hispanic",670
"Asian or Pacific Islander, non-Hispanic",1409
Hispanic or Latino,6330
Other Race,10335
Unknown,15276
"American Indian or Alaska Native, non-Hispanic",19081
"White, non-Hispanic",34349
