Category,Maricopa
Total_doses_administered,4925913
Total_people_one_dose,2482170
Total_people_complete,2237545
total_pouluation,2482170
Male-65 years and older,275991
Male-55-64 years,182122
Male-45-54 years,175899
Male-20-44 years,416812
Male-Less than 20 years,111939
Female-65 years and older,345625
Female-55-64 years,205396
Female-45-54 years,191373
Female-20-44 years,446610
Female-Less than 20 years,115990
"American Indian or Alaska Native, non-Hispanic",45722
"Black or African American, non-Hispanic",89990
"Asian or Pacific Islander, non-Hispanic",118062
Unknown,195795
Hispanic or Latino,401765
Other Race,446644
"White, non-Hispanic",1184192
