Category,Apache
Total_doses_administered,39476
Total_people_one_dose,21687
Total_people_complete,16765
total_pouluation,21687
Male-65 years and older,2301
Male-55-64 years,1586
Male-45-54 years,1204
Male-20-44 years,2828
Male-Less than 20 years,2713
Female-65 years and older,2699
Female-55-64 years,1701
Female-45-54 years,1216
Female-20-44 years,2646
Female-Less than 20 years,2785
"Black or African American, non-Hispanic",48
"Asian or Pacific Islander, non-Hispanic",110
Hispanic or Latino,493
Other Race,1243
Unknown,1508
"White, non-Hispanic",3262
"American Indian or Alaska Native, non-Hispanic",15023
