Category,La Paz
Total_doses_administered,15497
Total_people_one_dose,8198
Total_people_complete,7236
total_pouluation,8198
Male-65 years and older,2260
Male-55-64 years,585
Male-45-54 years,304
Male-20-44 years,618
Male-Less than 20 years,252
Female-65 years and older,2309
Female-55-64 years,687
Female-45-54 years,357
Female-20-44 years,549
Female-Less than 20 years,260
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",86
"American Indian or Alaska Native, non-Hispanic",379
Other Race,1172
Hispanic or Latino,1187
Unknown,1886
"White, non-Hispanic",3456
