Category,Maricopa
Total_doses_administered,3238603
Total_people_one_dose,1837727
Total_people_complete,1597557
Total_doses_ordered,1670401
total_pouluation,4367835
Male-65 years and older,187160
Male-55-64 years,132084
Male-45-54 years,133092
Male-20-44 years,314131
Male-Less than 20 years,88280
Female-65 years and older,241918
Female-55-64 years,151904
Female-45-54 years,146904
Female-20-44 years,339736
Female-Less than 20 years,90642
"American Indian or Alaska Native, non-Hispanic",39433
"Black or African American, non-Hispanic",71898
"Asian or Pacific Islander, non-Hispanic",84093
Unknown,180360
Other Race,281400
Hispanic or Latino,341695
"White, non-Hispanic",838848
