Category,Mohave
Total_doses_administered,163599
Total_people_one_dose,93274
Total_people_complete,77945
Total_doses_ordered,134660
total_pouluation,216985
Male-65 years and older,22104
Male-55-64 years,8749
Male-45-54 years,4570
Male-20-44 years,7742
Male-Less than 20 years,1474
Female-65 years and older,24644
Female-55-64 years,10154
Female-45-54 years,4886
Female-20-44 years,7200
Female-Less than 20 years,1588
"Black or African American, non-Hispanic",668
"American Indian or Alaska Native, non-Hispanic",970
"Asian or Pacific Islander, non-Hispanic",1351
Hispanic or Latino,6772
Unknown,15898
Other Race,16279
"White, non-Hispanic",51336
