Category,Cochise
Total_doses_administered,125446
Total_people_one_dose,70172
Total_people_complete,61851
Total_doses_ordered,93280
total_pouluation,130808
Male-65 years and older,10902
Male-55-64 years,5281
Male-45-54 years,3902
Male-20-44 years,10209
Male-Less than 20 years,2907
Female-65 years and older,12905
Female-55-64 years,6374
Female-45-54 years,4451
Female-20-44 years,10200
Female-Less than 20 years,2949
"American Indian or Alaska Native, non-Hispanic",336
"Asian or Pacific Islander, non-Hispanic",1333
"Black or African American, non-Hispanic",1338
Unknown,9411
Other Race,10650
Hispanic or Latino,17116
"White, non-Hispanic",29988
