Category,Graham
Total_doses_administered,23288
Total_people_one_dose,13022
Total_people_complete,11507
Total_doses_ordered,21530
total_pouluation,38476
Male-65 years and older,1708
Male-55-64 years,1040
Male-45-54 years,934
Male-20-44 years,2228
Male-Less than 20 years,484
Female-65 years and older,2150
Female-55-64 years,1188
Female-45-54 years,855
Female-20-44 years,1857
Female-Less than 20 years,567
"Asian or Pacific Islander, non-Hispanic",67
"Black or African American, non-Hispanic",79
Other Race,997
"American Indian or Alaska Native, non-Hispanic",1117
Hispanic or Latino,2144
Unknown,4102
"White, non-Hispanic",4516
