Category,Santa Cruz
Total_doses_administered,73037
Total_people_one_dose,40624
Total_people_complete,36580
Total_doses_ordered,49512
total_pouluation,53161
Male-65 years and older,3657
Male-55-64 years,2678
Male-45-54 years,3129
Male-20-44 years,8030
Male-Less than 20 years,2751
Female-65 years and older,4430
Female-55-64 years,2712
Female-45-54 years,2972
Female-20-44 years,7425
Female-Less than 20 years,2770
"American Indian or Alaska Native, non-Hispanic",18
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",100
Other Race,2069
Unknown,2370
"White, non-Hispanic",4914
Hispanic or Latino,31117
