Category,Yuma
Total_doses_administered,226329
Total_people_one_dose,127392
Total_people_complete,108323
Total_doses_ordered,150598
total_pouluation,229957
Male-65 years and older,16195
Male-55-64 years,9111
Male-45-54 years,8117
Male-20-44 years,24007
Male-Less than 20 years,6066
Female-65 years and older,18294
Female-55-64 years,9577
Female-45-54 years,8334
Female-20-44 years,20836
Female-Less than 20 years,6441
"Black or African American, non-Hispanic",751
"Asian or Pacific Islander, non-Hispanic",771
"American Indian or Alaska Native, non-Hispanic",1659
Other Race,11379
"White, non-Hispanic",22903
Unknown,34000
Hispanic or Latino,55929
