Category,Apache
Total_doses_administered,34488
Total_people_one_dose,19272
Total_people_complete,12874
Total_doses_ordered,16900
total_pouluation,71808
Male-65 years and older,1997
Male-55-64 years,1339
Male-45-54 years,1064
Male-20-44 years,2609
Male-Less than 20 years,2566
Female-65 years and older,2107
Female-55-64 years,1467
Female-45-54 years,1066
Female-20-44 years,2405
Female-Less than 20 years,2642
"Asian or Pacific Islander, non-Hispanic",173
"Black or African American, non-Hispanic",294
Unknown,1053
Other Race,1314
Hispanic or Latino,1933
"White, non-Hispanic",3368
"American Indian or Alaska Native, non-Hispanic",11137
