Category,Greenlee
Total_doses_administered,9073
Total_people_one_dose,5244
Total_people_complete,4427
Total_doses_ordered,10850
total_pouluation,10375
Male-65 years and older,569
Male-55-64 years,619
Male-45-54 years,536
Male-20-44 years,1131
Male-Less than 20 years,103
Female-65 years and older,538
Female-55-64 years,428
Female-45-54 years,391
Female-20-44 years,835
Female-Less than 20 years,91
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",51
"American Indian or Alaska Native, non-Hispanic",98
Other Race,144
Unknown,485
"White, non-Hispanic",2141
Hispanic or Latino,2278
