Category,Coconino
Total_doses_administered,154184
Total_people_one_dose,84544
Total_people_complete,75894
Total_doses_ordered,97548
total_pouluation,147275
Male-65 years and older,7900
Male-55-64 years,6121
Male-45-54 years,5538
Male-20-44 years,16837
Male-Less than 20 years,3313
Female-65 years and older,8984
Female-55-64 years,6830
Female-45-54 years,5643
Female-20-44 years,19293
Female-Less than 20 years,3999
"Black or African American, non-Hispanic",632
"Asian or Pacific Islander, non-Hispanic",1285
Hispanic or Latino,6112
Other Race,9798
Unknown,17039
"American Indian or Alaska Native, non-Hispanic",17694
"White, non-Hispanic",31984
